LongName,Latitude,Longitude,Query
"Atlanta-Sandy Springs-Marietta, GA",33.69360854,-84.43858024,0
"Baltimore-Towson, MD",39.34408274,-76.5854717,1
"Chicago-Naperville-Joliet, IL",41.78317058,-88.24649105,2
"Dallas-Plano-Irving, TX",32.8971162,-96.57010054,3
"Denver-Aurora, CO",39.43304462,-104.8955506,4
"Edison, NJ",40.21554614,-74.35729927,5
"Houston-Baytown-Sugar Land, TX",29.83790264,-95.38865693,6
"Los Angeles-Long Beach-Glendale, CA",34.32362573,-118.2246414,7
"Miami-Miami Beach-Kendall, FL",25.6154417,-80.57055897,8
"Minneapolis-St. Paul-Bloomington, MN-WI",45.06851251,-93.20102728,9
"Nassau-Suffolk, NY",40.84530069,-73.03713414,10
"New York-Wayne-White Plains, NY-NJ",41.05734078,-73.93610268,11
"Oakland-Fremont-Hayward, CA",37.77843526,-121.9096181,12
"Philadelphia, PA",40.12739594,-75.41788994,13
"Phoenix-Mesa-Scottsdale, AZ",33.18403646,-112.0676737,14
"Pittsburgh, PA",40.43686694,-79.83102032,15
"Portland-Vancouver-Beaverton, OR-WA",45.59481847,-122.480116,16
"Riverside-San Bernardino-Ontario, CA",34.55251403,-116.1291275,17
"San Diego-Carlsbad-San Marcos, CA",33.0368403,-116.7314902,18
"San Francisco-San Mateo-Redwood City, CA",37.76956123,-122.5351687,19
"Santa Ana-Anaheim-Irvine, CA",33.70409643,-117.7574229,20
"Seattle-Bellevue-Everett, WA",47.76492839,-121.7478214,21
"St. Louis, MO-IL",38.61268271,-90.4697615,22
"Tampa-St. Petersburg-Clearwater, FL",28.15760453,-82.39648371,23
